Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1186016354572353536,"Pelosi is now leading a delegation of 9, including Corrupt Adam Schiff, to Jordan to check out Syria. She should find out why Obama drew The Red Line In the Sand, &amp; then did NOTHING, losing Syria &amp; all respect. I did something, 58 missiles. One million died under Obama’s mistake!",Donald J. Trump,realDonaldTrump,Sun Oct 20 20:28:28 +0000 2019,105693,30505,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1186035686396321793,"....fiction to Congress and the American People?  I demand his deposition. He is a fraud, just like the Russia Hoax was, and the Ukraine Hoax is now. When do the Do Nothing Democrats pay a price for what they are doing to our Country, &amp; when do the Republicans finally fight back?",Donald J. Trump,realDonaldTrump,Sun Oct 20 21:45:17 +0000 2019,73681,18916,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,0
1186035685163257857,....because their so-called story didn’t come even close to matching up with the exact transcript of the phone call. Was it a Corrupt Adam Schiff con? Why didn’t the IG see this? When do we depose Shifty Schiff to find out why he fraudulently made up my phone call and read this..,Donald J. Trump,realDonaldTrump,Sun Oct 20 21:45:17 +0000 2019,65630,15521,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,0
1186035684525727744,"This Scam going on right now by the Democrats against the Republican Party, and me, was all about a perfect phone call I had with the Ukrainian President. He’s already stated, NO PRESSURE! Where is the Whistleblower, or the 2nd Whistleblower, or the “informant?” All gone.....",Donald J. Trump,realDonaldTrump,Sun Oct 20 21:45:17 +0000 2019,94603,23446,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1186049749989892105,"So interesting that, when I announced Trump National Doral in Miami would be used for the hosting of the G-7, and then rescinded due to Do Nothing Democrat/Fake News Anger, very few in Media mentioned that NO PROFITS would be taken, or would be given FREE, if legally permissible!",Donald J. Trump,realDonaldTrump,Sun Oct 20 22:41:10 +0000 2019,81535,20828,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1186096913520693248,"“To the Democrats, Impeachment is partisan politics dressed up as principle.” @SteveHiltonx @FoxNews",Donald J. Trump,realDonaldTrump,Mon Oct 21 01:48:35 +0000 2019,43685,10495,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,2
1186097821579124736,Republicans in the Congress should be asked:  why have you allowed the State Department to become an arm of the Democratic Party?  And what are you going to do about it? https://t.co/mPoy2ebfwU,Donald J. Trump,realDonaldTrump,Mon Oct 21 01:52:11 +0000 2019,0,18353,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,0
1186098336186671105,It is ONLY about this! https://t.co/ZB5xPDKs4b,Donald J. Trump,realDonaldTrump,Mon Oct 21 01:54:14 +0000 2019,0,21856,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,0
1186098680325124104,This action by the Commerce Department sends another clear message to the Cuban regime – that they must immediately cease their destructive behavior at home and abroad. https://t.co/6Q4YGAvnBB …,Donald J. Trump,realDonaldTrump,Mon Oct 21 01:55:36 +0000 2019,0,5419,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,0
1186098803163697152,"Since the election of President Trump, the U.S. has added 6.4 million jobs, including 500,000 in the #manufacturing sector alone &amp; 136,000 new jobs in the month of September. Income &amp; wages are up &amp; poverty is at the lowest level in almost two decades. https://t.co/7ATQDDbNm2 …",Donald J. Trump,realDonaldTrump,Mon Oct 21 01:56:05 +0000 2019,0,10266,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,1,0
1186099074371596288,Congratulations Barbara! https://t.co/0cYrjL1YOj,Donald J. Trump,realDonaldTrump,Mon Oct 21 01:57:10 +0000 2019,36141,8272,Catalan,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1186099686475735041,"??IMPORTANT??

This is the most crucial statistic of the 2020 election:  

Average American middle class household income: 

- 8 years of George W. Bush: $400
- 8 years of Barack H. Obama: $1,000
- 2 years of Donald Trump: $6,000 

Share this please — ???? ?? https://t.co/vsEBvI8aEh",Donald J. Trump,realDonaldTrump,Mon Oct 21 01:59:36 +0000 2019,0,19860,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,Video,0,0,0
1186101103676526592,Adam Schiff is a Corrupt Politician! https://t.co/16aSrqjwu2,Donald J. Trump,realDonaldTrump,Mon Oct 21 02:05:14 +0000 2019,76399,21703,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1186101761368571904,A Great Democrat Scam! https://t.co/LbkVT7UvXX,Donald J. Trump,realDonaldTrump,Mon Oct 21 02:07:51 +0000 2019,47369,15150,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1186113259780345857,https://t.co/6sKKniiOfE,Donald J. Trump,realDonaldTrump,Mon Oct 21 02:53:32 +0000 2019,37865,11624,Undetermined,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Video,0,0,0
1186114286642515969,https://t.co/R3Chppjx6S,Donald J. Trump,realDonaldTrump,Mon Oct 21 02:57:37 +0000 2019,46373,15654,Undetermined,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Video,0,0,0
1186128505316229121,https://t.co/oSn6amjZo4,Donald J. Trump,realDonaldTrump,Mon Oct 21 03:54:07 +0000 2019,43568,13880,Undetermined,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,Video,0,0,0
1186257181689237504,"Great new book by wonderful and very street smart author Dan Bongino, EXONERATED, THE FAILED TAKEDOWN OF PRESIDENT DONALD TRUMP BY THE SWAMP. Dan hits all of the crooked points of the greatest Witch Hunt in political history. Nevertheless, the Scam continues!",Donald J. Trump,realDonaldTrump,Mon Oct 21 12:25:26 +0000 2019,72937,17793,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1186258762920792065,"Censure (at least) Corrupt Adam Schiff! After what he got caught doing, any pol who does not so vote cannot be honest....are you listening Dems?",Donald J. Trump,realDonaldTrump,Mon Oct 21 12:31:43 +0000 2019,95560,23650,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1186270381491081218,"Doral in Miami would have been the best place to hold the G-7, and free, but too much heat from the Do Nothing Radical Left Democrats &amp; their Partner, the Fake News Media! I’m surprised that they allow me to give up my $400,000 Plus Presidential Salary! We’ll find someplace else!",Donald J. Trump,realDonaldTrump,Mon Oct 21 13:17:53 +0000 2019,91991,22476,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1186418453202247684,Will be interviewed by @seanhannity tonight at 9:00 P.M. on @FoxNews. Enjoy!,Donald J. Trump,realDonaldTrump,Mon Oct 21 23:06:16 +0000 2019,46037,10668,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,2
1186439731237789696,Thank you Dan and Kevin. Great Vote! https://t.co/MMJ5SanakG,Donald J. Trump,realDonaldTrump,Tue Oct 22 00:30:49 +0000 2019,38939,8779,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,0
1186439806567534594,"Adam Schiff must be held accountable for his lies.

Tonight Republicans will move to censure &amp; condemn him for deliberately misleading the American people.

Schiff’s Shady Record:
- Fake collusion evidence claims
- Fabricated call transcript
- Secret dealings w/ the whistleblower",Donald J. Trump,realDonaldTrump,Tue Oct 22 00:31:07 +0000 2019,0,12248,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,0
